date,demand,year,month,month_name,day,day_name
2002-01-02,446.0,2002,1,January,02,Wednesday
2002-01-03,1778.0,2002,1,January,03,Thursday
2002-01-04,1569.0,2002,1,January,04,Friday
2002-01-05,0.0,2002,1,January,05,Saturday
2002-01-06,0.0,2002,1,January,06,Sunday
2002-01-07,1234.0,2002,1,January,07,Monday
2002-01-08,524.0,2002,1,January,08,Tuesday
2002-01-09,168.0,2002,1,January,09,Wednesday
2002-01-10,1888.0,2002,1,January,10,Thursday
2002-01-11,1498.0,2002,1,January,11,Friday
2002-01-12,0.0,2002,1,January,12,Saturday
2002-01-13,0.0,2002,1,January,13,Sunday
2002-01-14,1878.0,2002,1,January,14,Monday
2002-01-15,678.0,2002,1,January,15,Tuesday
2002-01-16,1220.0,2002,1,January,16,Wednesday
2002-01-17,2130.0,2002,1,January,17,Thursday
2002-01-18,4712.0,2002,1,January,18,Friday
2002-01-19,0.0,2002,1,January,19,Saturday
2002-01-20,0.0,2002,1,January,20,Sunday
2002-01-21,0.0,2002,1,January,21,Monday
2002-01-22,3282.0,2002,1,January,22,Tuesday
2002-01-23,2353.0,2002,1,January,23,Wednesday
2002-01-24,760.0,2002,1,January,24,Thursday
2002-01-25,515.0,2002,1,January,25,Friday
2002-01-26,0.0,2002,1,January,26,Saturday
2002-01-27,0.0,2002,1,January,27,Sunday
2002-01-28,1034.0,2002,1,January,28,Monday
2002-01-29,4762.0,2002,1,January,29,Tuesday
2002-01-30,2476.0,2002,1,January,30,Wednesday
2002-01-31,2217.0,2002,1,January,31,Thursday
2002-02-01,102.0,2002,2,February,01,Friday
2002-02-02,0.0,2002,2,February,02,Saturday
2002-02-03,0.0,2002,2,February,03,Sunday
2002-02-04,1111.0,2002,2,February,04,Monday
2002-02-05,468.0,2002,2,February,05,Tuesday
2002-02-06,442.0,2002,2,February,06,Wednesday
2002-02-07,2551.0,2002,2,February,07,Thursday
2002-02-08,1039.0,2002,2,February,08,Friday
2002-02-09,0.0,2002,2,February,09,Saturday
2002-02-10,0.0,2002,2,February,10,Sunday
2002-02-11,2276.0,2002,2,February,11,Monday
2002-02-12,754.0,2002,2,February,12,Tuesday
2002-02-13,1408.0,2002,2,February,13,Wednesday
2002-02-14,167.0,2002,2,February,14,Thursday
2002-02-15,4634.0,2002,2,February,15,Friday
2002-02-16,0.0,2002,2,February,16,Saturday
2002-02-17,0.0,2002,2,February,17,Sunday
2002-02-18,0.0,2002,2,February,18,Monday
2002-02-19,3256.0,2002,2,February,19,Tuesday
2002-02-20,231.0,2002,2,February,20,Wednesday
2002-02-21,2950.0,2002,2,February,21,Thursday
2002-02-22,2148.0,2002,2,February,22,Friday
2002-02-23,0.0,2002,2,February,23,Saturday
2002-02-24,0.0,2002,2,February,24,Sunday
2002-02-25,152.0,2002,2,February,25,Monday
2002-02-26,1170.0,2002,2,February,26,Tuesday
2002-02-27,700.0,2002,2,February,27,Wednesday
2002-02-28,296.0,2002,2,February,28,Thursday
2002-03-01,4994.0,2002,3,March,01,Friday
2002-03-02,0.0,2002,3,March,02,Saturday
2002-03-03,0.0,2002,3,March,03,Sunday
2002-03-04,2796.0,2002,3,March,04,Monday
2002-03-05,217.0,2002,3,March,05,Tuesday
2002-03-06,596.0,2002,3,March,06,Wednesday
2002-03-07,2436.0,2002,3,March,07,Thursday
2002-03-08,1331.0,2002,3,March,08,Friday
2002-03-09,0.0,2002,3,March,09,Saturday
2002-03-10,0.0,2002,3,March,10,Sunday
2002-03-11,143.0,2002,3,March,11,Monday
2002-03-12,3098.0,2002,3,March,12,Tuesday
2002-03-13,1217.0,2002,3,March,13,Wednesday
2002-03-14,541.0,2002,3,March,14,Thursday
2002-03-15,178.0,2002,3,March,15,Friday
2002-03-16,0.0,2002,3,March,16,Saturday
2002-03-17,0.0,2002,3,March,17,Sunday
2002-03-18,412.0,2002,3,March,18,Monday
2002-03-19,1072.0,2002,3,March,19,Tuesday
2002-03-20,1851.0,2002,3,March,20,Wednesday
2002-03-21,1213.0,2002,3,March,21,Thursday
2002-03-22,1105.0,2002,3,March,22,Friday
2002-03-23,0.0,2002,3,March,23,Saturday
2002-03-24,0.0,2002,3,March,24,Sunday
2002-03-25,1932.0,2002,3,March,25,Monday
2002-03-26,637.0,2002,3,March,26,Tuesday
