"Date","Price","Open","High","Low","Vol.","Change %"
"02/27/2024","2,623","2,623","2,673","2,613","180.30K","0.38%"
"02/26/2024","2,613","2,603","2,613","2,573","58.56K","0.38%"
"02/23/2024","2,603","2,583","2,603","2,573","122.74K","0.77%"
"02/22/2024","2,583","2,603","2,613","2,563","243.48K","-0.38%"
"02/21/2024","2,593","2,583","2,603","2,583","6.82K","0.39%"
"02/20/2024","2,583","2,603","2,603","2,573","11.63K","-0.77%"
"02/19/2024","2,603","2,583","2,603","2,583","49.14K","0.77%"
"02/16/2024","2,583","2,593","2,593","2,583","45.33K","-0.38%"
"02/15/2024","2,593","2,603","2,603","2,573","35.30K","0.78%"
"02/13/2024","2,573","2,563","2,573","2,563","10.13K","-0.77%"
"02/12/2024","2,593","2,593","2,593","2,553","16.55K","0.00%"
"02/07/2024","2,593","2,583","2,603","2,563","8.72K","0.39%"
"02/06/2024","2,583","2,593","2,593","2,563","6.12K","-0.38%"
"02/05/2024","2,593","2,593","2,593","2,573","11.13K","0.78%"
"02/02/2024","2,573","2,593","2,593","2,553","15.04K","-0.39%"
"02/01/2024","2,583","2,583","2,593","2,563","3.21K","-0.38%"
"01/31/2024","2,593","2,563","2,593","2,563","5.01K","0.00%"
"01/30/2024","2,593","2,583","2,593","2,583","2.31K","0.39%"
"01/29/2024","2,583","2,573","2,583","2,553","6.62K","0.00%"
"01/26/2024","2,583","2,573","2,593","2,563","36.20K","0.39%"
"01/25/2024","2,573","2,573","2,593","2,563","6.62K","0.00%"
"01/24/2024","2,573","2,593","2,593","2,563","60.07K","-0.77%"
"01/23/2024","2,593","2,583","2,593","2,583","26.57K","0.00%"
"01/22/2024","2,593","2,603","2,613","2,573","13.74K","0.39%"
"01/19/2024","2,583","2,593","2,593","2,583","2.61K","-0.38%"
"01/18/2024","2,593","2,583","2,603","2,583","2.81K","-0.76%"
"01/17/2024","2,613","2,603","2,613","2,583","11.83K","0.38%"
"01/16/2024","2,603","2,593","2,603","2,583","66.79K","0.00%"
"01/15/2024","2,603","2,613","2,613","2,593","3.61K","-0.38%"
"01/12/2024","2,613","2,613","2,613","2,573","20.96K","0.00%"
"01/11/2024","2,613","2,603","2,613","2,593","14.44K","0.00%"
"01/10/2024","2,613","2,583","2,613","2,583","14.94K","0.38%"
"01/09/2024","2,603","2,623","2,623","2,573","14.64K","-0.76%"
"01/08/2024","2,623","2,623","2,623","2,613","4.21K","0.00%"
"01/05/2024","2,623","2,623","2,633","2,613","13.94K","0.00%"
"01/04/2024","2,623","2,593","2,623","2,593","14.94K","-0.38%"
"01/03/2024","2,633","2,613","2,633","2,603","3.91K","0.76%"
"01/02/2024","2,613","2,613","2,613","2,593","2.11K","0.00%"
"12/29/2023","2,613","2,623","2,623","2,593","7.62K","-0.38%"
"12/28/2023","2,623","2,633","2,633","2,593","30.69K","-0.38%"
"12/27/2023","2,633","2,613","2,643","2,583","14.64K","0.76%"
"12/22/2023","2,613","2,623","2,623","2,593","10.53K","-0.38%"
"12/21/2023","2,623","2,623","2,623","2,603","3.51K","0.77%"
"12/20/2023","2,603","2,583","2,643","2,583","74.91K","0.77%"
"12/19/2023","2,583","2,593","2,593","2,583","43.82K","-0.38%"
"12/18/2023","2,593","2,633","2,693","2,583","79.92K","-1.14%"
"12/15/2023","2,623","2,593","2,623","2,593","60.37K","0.38%"
"12/14/2023","2,613","2,613","2,633","2,553","51.04K","0.00%"
"12/13/2023","2,613","2,613","2,613","2,593","11.73K","-0.38%"
"12/12/2023","2,623","2,643","2,643","2,563","38.61K","-0.75%"
"12/11/2023","2,643","2,623","2,643","2,623","8.52K","0.76%"
"12/08/2023","2,623","2,633","2,633","2,613","4.51K","0.00%"
"12/07/2023","2,623","2,623","2,623","2,563","274.86K","0.00%"
"12/06/2023","2,623","2,693","2,693","2,563","15.44K","-0.38%"
"12/05/2023","2,633","2,673","2,673","2,633","26.98K","-1.49%"
"12/04/2023","2,673","2,693","2,693","2,643","4.81K","0.37%"
"12/01/2023","2,663","2,683","2,683","2,643","16.95K","-0.74%"
"11/30/2023","2,683","2,663","2,683","2,643","13.64K","-0.37%"
"11/29/2023","2,693","2,653","2,702","2,603","84.94K","1.12%"
"11/28/2023","2,663","2,643","2,663","2,643","15.24K","0.75%"
"11/27/2023","2,643","2,643","2,643","2,623","32.79K","0.38%"
"11/24/2023","2,633","2,593","2,633","2,583","7.52K","1.54%"
"11/23/2023","2,593","2,623","2,643","2,593","8.82K","-1.14%"
"11/22/2023","2,623","2,583","2,623","2,573","1.20K","-0.38%"
"11/21/2023","2,633","2,593","2,633","2,563","53.85K","0.00%"
"11/20/2023","2,633","2,643","2,653","2,573","7.12K","0.38%"
"11/17/2023","2,623","2,633","2,633","2,613","2.21K","0.00%"
"11/16/2023","2,623","2,633","2,633","2,613","2.61K","0.00%"
"11/15/2023","2,623","2,623","2,633","2,593","88.95K","0.00%"
"11/14/2023","2,623","2,593","2,623","2,553","74.11K","1.15%"
"11/13/2023","2,593","2,573","2,593","2,553","2.41K","0.78%"
"11/10/2023","2,573","2,593","2,593","2,573","1.50K","-1.15%"
"11/09/2023","2,603","2,603","2,603","2,553","2.11K","0.00%"
"11/08/2023","2,603","2,603","2,603","2,553","17.15K","0.00%"
"11/07/2023","2,603","2,623","2,623","2,593","1.60K","0.38%"
