"Date","Price","Open","High","Low","Vol.","Change %"
"11/30/2022","6,050","6,050","6,200","6,025","135.76M","0.00%"
"11/29/2022","6,050","6,125","6,150","6,025","115.48M","-2.81%"
"11/28/2022","6,225","6,175","6,275","6,150","33.81M","0.81%"
"11/25/2022","6,175","6,175","6,200","6,125","33.75M","-0.40%"
"11/24/2022","6,200","6,200","6,275","6,200","26.04M","0.00%"
"11/23/2022","6,200","6,275","6,300","6,200","31.87M","-0.40%"
"11/22/2022","6,225","6,325","6,350","6,225","33.10M","-1.58%"
"11/21/2022","6,325","6,275","6,350","6,250","22.99M","1.61%"
"11/18/2022","6,225","6,275","6,300","6,200","29.30M","-1.19%"
"11/17/2022","6,300","6,200","6,300","6,050","35.19M","2.02%"
"11/16/2022","6,175","6,175","6,200","6,100","60.39M","-0.80%"
"11/15/2022","6,225","6,300","6,350","6,200","57.54M","-1.19%"
"11/14/2022","6,300","6,450","6,475","6,300","54.46M","-2.33%"
"11/11/2022","6,450","6,600","6,625","6,450","50.94M","-1.15%"
"11/10/2022","6,525","6,550","6,550","6,450","29.26M","-0.38%"
"11/09/2022","6,550","6,525","6,550","6,475","34.62M","0.38%"
"11/08/2022","6,525","6,500","6,525","6,450","35.25M","0.38%"
"11/07/2022","6,500","6,425","6,500","6,425","33.73M","1.17%"
"11/04/2022","6,425","6,350","6,425","6,350","51.90M","0.78%"
"11/03/2022","6,375","6,375","6,425","6,350","26.04M","-0.78%"
"11/02/2022","6,425","6,525","6,550","6,375","54.18M","-2.28%"
"11/01/2022","6,575","6,650","6,675","6,475","53.72M","-1.13%"
"10/31/2022","6,650","6,550","6,650","6,550","35.24M","1.53%"
"10/28/2022","6,550","6,650","6,650","6,500","23.41M","-1.50%"
"10/27/2022","6,650","6,575","6,675","6,525","30.43M","1.14%"
"10/26/2022","6,575","6,700","6,700","6,575","29.24M","-1.87%"
"10/25/2022","6,700","6,700","6,700","6,600","38.56M","0.75%"
"10/24/2022","6,650","6,575","6,700","6,575","37.20M","1.14%"
"10/21/2022","6,575","6,475","6,675","6,450","52.15M","2.33%"
"10/20/2022","6,425","6,500","6,525","6,400","32.23M","-1.53%"
"10/19/2022","6,525","6,425","6,525","6,400","25.54M","2.76%"
"10/18/2022","6,350","6,450","6,500","6,350","42.60M","-1.17%"
"10/17/2022","6,425","6,325","6,525","6,200","50.71M","1.18%"
"10/14/2022","6,350","6,500","6,500","6,350","46.45M","0.00%"
"10/13/2022","6,350","6,375","6,400","6,275","44.28M","0.00%"
"10/12/2022","6,350","6,450","6,475","6,350","72.79M","-2.68%"
"10/11/2022","6,525","6,400","6,575","6,400","35.32M","0.38%"
"10/10/2022","6,500","6,425","6,525","6,375","34.32M","0.39%"
"10/07/2022","6,475","6,550","6,575","6,450","54.85M","-1.89%"
"10/06/2022","6,600","6,675","6,750","6,600","37.00M","-1.12%"
"10/05/2022","6,675","6,800","6,825","6,675","31.02M","-0.74%"
"10/04/2022","6,725","6,725","6,800","6,700","33.32M","1.51%"
"10/03/2022","6,625","6,650","6,700","6,600","27.28M","0.00%"
"09/30/2022","6,625","6,700","6,750","6,600","71.02M","-2.21%"
"09/29/2022","6,775","6,850","6,900","6,700","36.65M","-0.37%"
"09/28/2022","6,800","6,950","7,000","6,800","50.83M","-2.16%"
"09/27/2022","6,950","7,000","7,050","6,950","42.81M","-0.36%"
"09/26/2022","6,975","7,000","7,025","6,850","61.42M","-2.45%"
"09/23/2022","7,150","7,100","7,175","7,050","22.26M","-0.35%"
"09/22/2022","7,175","7,025","7,225","7,000","26.30M","0.35%"
"09/21/2022","7,150","7,125","7,200","7,100","26.01M","-0.35%"
"09/20/2022","7,175","7,150","7,250","7,100","47.34M","0.70%"
"09/19/2022","7,125","6,950","7,225","6,925","52.23M","3.26%"
"09/16/2022","6,900","7,000","7,050","6,900","65.89M","-2.13%"
"09/15/2022","7,050","7,125","7,225","7,050","63.35M","-1.40%"
"09/14/2022","7,150","7,100","7,300","7,050","56.83M","-0.69%"
"09/13/2022","7,200","7,025","7,225","6,950","70.56M","3.23%"
"09/12/2022","6,975","6,775","6,975","6,725","51.56M","2.95%"
"09/09/2022","6,775","6,675","6,775","6,625","31.90M","1.88%"
"09/08/2022","6,650","6,650","6,750","6,625","39.41M","0.00%"
"09/07/2022","6,650","6,800","6,875","6,625","72.81M","-3.62%"
"09/06/2022","6,900","6,875","6,950","6,850","18.63M","0.36%"
"09/05/2022","6,875","6,900","6,925","6,850","24.95M","-0.72%"
"09/02/2022","6,925","6,950","7,000","6,875","23.48M","0.00%"
"09/01/2022","6,925","6,975","7,025","6,900","36.71M","-0.72%"
"08/31/2022","6,975","6,875","6,975","6,775","55.71M","1.09%"
"08/30/2022","6,900","6,850","7,025","6,850","38.52M","1.10%"
"08/29/2022","6,825","6,800","6,900","6,750","33.58M","-0.73%"
"08/26/2022","6,875","6,975","7,025","6,850","31.12M","-1.43%"
"08/25/2022","6,975","7,050","7,050","6,950","22.79M","-1.06%"
"08/24/2022","7,050","6,925","7,050","6,900","30.61M","1.08%"
"08/23/2022","6,975","6,900","7,025","6,850","56.38M","0.72%"
"08/22/2022","6,925","6,875","6,925","6,800","48.27M","-0.72%"
"08/19/2022","6,975","6,975","7,000","6,900","32.91M","0.00%"
"08/18/2022","6,975","6,975","7,000","6,850","25.19M","0.00%"
"08/16/2022","6,975","6,875","7,050","6,875","61.91M","1.45%"
"08/15/2022","6,875","6,925","6,950","6,800","35.28M","-1.08%"
"08/12/2022","6,950","6,950","7,000","6,850","58.50M","0.00%"
"08/11/2022","6,950","6,975","7,000","6,900","42.01M","1.46%"
"08/10/2022","6,850","6,775","6,850","6,600","37.09M","1.48%"
"08/09/2022","6,750","6,725","6,825","6,700","61.00M","0.75%"
"08/08/2022","6,700","6,625","6,700","6,525","32.97M","1.13%"
"08/05/2022","6,625","6,600","6,650","6,475","46.70M","0.38%"
"08/04/2022","6,600","6,700","6,700","6,450","55.92M","0.00%"
