"Date","Price","Open","High","Low","Vol.","Change %"
"12/01/2023","5,900","5,850","5,900","5,825","31.37M","0.85%"
"11/30/2023","5,850","5,850","5,925","5,825","117.37M","0.00%"
"11/29/2023","5,850","5,850","5,925","5,825","36.80M","-0.85%"
"11/28/2023","5,900","5,900","5,925","5,875","58.26M","0.00%"
"11/27/2023","5,900","5,900","5,925","5,875","39.72M","0.43%"
"11/24/2023","5,875","5,925","5,925","5,850","33.28M","-0.42%"
"11/23/2023","5,900","5,950","5,950","5,900","36.73M","0.43%"
"11/22/2023","5,875","5,825","5,900","5,825","21.11M","0.00%"
"11/21/2023","5,875","5,850","5,925","5,825","55.09M","0.00%"
"11/20/2023","5,875","5,825","5,925","5,825","27.06M","-0.42%"
"11/17/2023","5,900","5,875","5,950","5,850","33.96M","-0.42%"
"11/16/2023","5,925","5,850","5,925","5,825","54.30M","0.00%"
"11/15/2023","5,925","5,900","5,975","5,875","74.26M","1.72%"
"11/14/2023","5,825","5,825","5,900","5,800","50.59M","0.00%"
"11/13/2023","5,825","5,850","5,850","5,800","22.08M","0.87%"
"11/10/2023","5,775","5,850","5,850","5,775","59.61M","-1.70%"
"11/09/2023","5,875","5,825","5,900","5,800","45.03M","0.43%"
"11/08/2023","5,850","5,775","5,850","5,725","63.55M","-0.43%"
"11/07/2023","5,875","5,950","5,975","5,800","56.16M","-0.84%"
"11/06/2023","5,925","5,900","5,925","5,850","58.27M","1.72%"
"11/03/2023","5,825","5,925","5,975","5,825","53.38M","-1.27%"
"11/02/2023","5,900","5,750","5,925","5,725","115.68M","4.42%"
"11/01/2023","5,650","5,700","5,700","5,625","74.28M","-0.44%"
"10/31/2023","5,675","5,800","5,850","5,650","99.45M","-0.87%"
"10/30/2023","5,725","5,700","5,725","5,625","81.55M","0.44%"
"10/27/2023","5,700","5,750","5,775","5,700","90.18M","0.00%"
"10/26/2023","5,700","5,800","5,850","5,700","86.35M","-2.56%"
"10/25/2023","5,850","5,825","5,900","5,775","90.43M","1.74%"
"10/24/2023","5,750","5,700","5,800","5,675","72.47M","1.32%"
"10/23/2023","5,675","5,700","5,725","5,625","73.90M","-1.30%"
"10/20/2023","5,750","5,675","5,800","5,650","98.53M","0.44%"
"10/19/2023","5,725","5,775","5,800","5,700","160.28M","-2.14%"
"10/18/2023","5,850","5,925","5,950","5,825","91.87M","-2.50%"
"10/17/2023","6,000","6,000","6,025","5,925","74.70M","-0.41%"
"10/16/2023","6,025","6,025","6,075","5,975","60.41M","-0.82%"
"10/13/2023","6,075","6,075","6,150","6,025","39.91M","0.00%"
"10/12/2023","6,075","6,075","6,175","6,050","91.34M","0.41%"
"10/11/2023","6,050","5,950","6,175","5,950","72.96M","0.83%"
